year,lake,Average of CAL_Num/m3,Average of CALIM_Num/m3,Average of CYC_Num/m3,Average of CYCIM_Num/m3,Average of DAP_Num/m3,Average of NDAP_Num/m3,Average of PRED_Num/m3
1997,ER,1332.809714,3149.196423,4084.126789,17017.67167,9012.26897,11139.41076,266.6576522
1997,HU,1361.952076,4339.344804,612.4666137,2576.439124,2191.528796,843.7556763,8.010977972
1997,MI,1323.460662,1967.527733,28.180589,547.761124,1136.36633,47.96358083,8.231176642
1997,ON,381.725287,269.1460299,3597.992767,10811.51808,1569.926038,18711.79814,8.179507741
1997,SU,416.1143942,1320.778519,112.2987051,558.6109497,41.561609,53.41791159,0.364412839
1998,ER,1625.0727,2509.04519,918.5996504,1825.784824,1334.615807,2714.687887,94.36609437
1998,HU,2172.94515,3236.703431,362.9515994,1813.645525,1821.002019,588.3630227,2.990049865
1998,MI,1651.004687,2080.19044,204.2251374,580.8258954,1463.636227,61.82936545,2.040974183
1998,ON,341.0340049,462.9601987,2229.000639,4863.87752,4168.501971,6225.143476,46.01456218
1998,SU,405.7145724,1293.032082,244.9808445,381.6760938,120.7462377,136.5254241,1.673671115
1999,ER,1479.588311,2994.012187,1799.239507,5357.785497,540.6580695,5789.856368,69.99106471
1999,HU,2351.666738,4894.445165,1569.196976,2870.093731,1631.700498,2029.151792,1.526301131
1999,MI,739.7746619,2365.838072,1227.695068,3332.643449,1446.80771,2081.093924,2.580237359
1999,ON,160.9921281,458.2288663,4000.07925,3559.977302,1643.31657,2337.867417,68.54188468
1999,SU,436.1100212,1213.317555,318.3374512,308.0210302,61.86845712,91.53443796,0.2285099
2000,ER,2273.70797,2460.992842,2290.820803,6077.123857,4042.932031,6245.463927,121.3954191
2000,HU,1065.147369,2085.399177,188.0606292,916.5564242,1468.641432,3445.70488,5.966368424
2000,MI,1802.906656,2968.924467,243.7264499,730.6834606,666.2742683,4463.454095,13.24714952
2000,ON,158.848473,91.24419796,7937.166994,12769.64597,475.8623081,3367.707799,156.5266197
2000,SU,330.1409745,2333.440724,433.1854921,518.9508126,194.6404045,520.1816158,0.803215654
2001,ER,1524.349364,1523.442374,1160.671588,3371.930063,586.4482231,2806.130008,28.02106787
2001,HU,1844.995444,1903.351507,616.3640638,3357.136882,643.8159411,795.9146055,2.655602215
2001,MI,1973.191351,1932.016179,433.7192379,995.8424416,1071.178924,301.8260458,3.951090536
2001,ON,76.73657266,175.5964416,2348.105767,2510.360307,1075.318475,3270.704124,130.6054719
2001,SU,511.9806975,618.4704632,182.6365546,522.0102432,20.84918957,58.03340586,0.085276699
2002,ER,2057.378234,1626.061795,1487.623227,5040.21493,2483.660551,7200.137311,114.9623491
2002,HU,2546.174608,5101.949801,576.951135,2291.699461,1059.040736,899.2218483,2.695049395
2002,MI,2725.748083,7280.416973,649.9768097,3110.166245,458.1398613,160.3152039,2.672110268
2002,ON,74.64493694,110.1552166,3517.601247,3476.204895,174.1535125,2342.735073,68.90907118
2002,SU,438.4184812,1209.868817,229.3609671,473.1816075,32.38705219,82.7917322,0.292354966
2003,ER,1191.979892,1503.983356,2523.530485,2970.099449,2774.474874,5806.117866,96.64276019
2003,HU,2089.26793,2265.058976,258.5572422,1531.806171,59.615479,335.8321435,1.874928723
2003,MI,1595.901096,3389.566794,466.2859553,984.7388305,359.0938988,131.2474992,2.918502557
2003,ON,45.39569626,104.9062309,2918.13596,2828.288107,2642.443836,2442.970443,86.58743177
2003,SU,557.587432,929.0036906,140.6489105,673.063635,25.23032402,31.88166976,0.181267271
