date,year, MI dollars spent hunting & fishing licenses 
1/1/1994,1994,39000000.00
1/1/1995,1995,39000000.00
1/1/1996,1996,42000000.00
1/1/1997,1997,29000000.00
1/1/1998,1998,20000000.00
1/1/1999,1999,27000000.00
1/1/2000,2000,13000000.00
1/1/2001,2001,21000000.00
1/1/2002,2002,50000000.00
1/1/2003,2003,50000000.00
1/1/2004,2004,48000000.00
1/1/2005,2005,49000000.00
1/1/2006,2006,49000000.00
1/1/2007,2007,49000000.00
1/1/2008,2008,50000000.00
1/1/2009,2009,45000000.00
1/1/2010,2010,54000000.00
1/1/2011,2011,53000000.00
1/1/2012,2012,45000000.00
1/1/2013,2013,50000000.00
1/1/2014,2014,62000000.00
1/1/2015,2015,62000000.00
1/1/2016,2016,64000000.00
1/1/2017,2017,45000000.00
1/1/2018,2018,84000000.00
1/1/2019,2019,72000000.00
