city,county,2010 population,2000 population,percent change,2010 land area in sq mi,2010 land area in sq km,density
Acme,Grand Traverse,"4,375","4,332",1.00%,25.01,64.8,174.9/sq mi (67.5/km2)
Ada,Kent,"13,142","9,882",33.00%,36.04,93.3,364.7/sq mi (140.8/km2)
Adams,Arenac,563,550,2.40%,35.64,92.3,15.8/sq mi (6.1/km2)
Adams,Hillsdale,"2,493","2,498",?0.2%,35.64,92.3,69.9/sq mi (27.0/km2)
Adams,Houghton,"2,573","2,747",?6.3%,47.05,121.9,54.7/sq mi (21.1/km2)
Addison,Lenawee,605,627,?3.5%,0.96,2.5,630.2/sq mi (243.3/km2)
Addison,Oakland,"6,351","6,439",?1.4%,35.52,92,178.8/sq mi (69.0/km2)
AdrianCounty seat,Lenawee,"21,133","21,574",?2.0%,7.95,20.6,"2,658.2/sq mi (1,026.4/km2)"
Adrian,Lenawee,"6,035","5,749",5.00%,33.99,88,177.6/sq mi (68.6/km2)
Aetna,Mecosta,"2,299","2,044",12.50%,35.52,92,64.7/sq mi (25.0/km2)
Aetna,Missaukee,413,491,?15.9%,35.88,92.9,11.5/sq mi (4.4/km2)
Ahmeek,Keweenaw,146,157,?7.0%,0.07,0.18,"2,085.7/sq mi (805.3/km2)"
Akron,Tuscola,402,461,?12.8%,0.94,2.4,427.7/sq mi (165.1/km2)
Akron,Tuscola,"1,503","1,589",?5.4%,52.75,136.6,28.5/sq mi (11.0/km2)
Alabaster,Iosco,487,503,?3.2%,22.22,57.5,21.9/sq mi (8.5/km2)
Alaiedon,Ingham,"2,894","3,498",?17.3%,35.6,92.2,81.3/sq mi (31.4/km2)
Alamo,Kalamazoo,"3,762","3,820",?1.5%,36.2,93.8,103.9/sq mi (40.1/km2)
Alanson,Emmet,738,785,?6.0%,0.99,2.6,745.5/sq mi (287.8/km2)
Albee,Saginaw,"2,160","2,338",?7.6%,36.04,93.3,59.9/sq mi (23.1/km2)
Albert,Montmorency,"2,526","2,695",?6.3%,65.66,170.1,38.5/sq mi (14.9/km2)
Albion,Calhoun,"8,616","9,144",?5.8%,4.41,11.4,"1,953.7/sq mi (754.3/km2)"
Albion,Calhoun,"1,123","1,200",?6.4%,32.63,84.5,34.4/sq mi (13.3/km2)
Alcona,Alcona,968,"1,089",?11.1%,57.5,149,16.8/sq mi (6.5/km2)
