,year, MI dollars spent hunting & fishing licenses 
0,1994,39000000.0
1,1995,39000000.0
2,1996,42000000.0
3,1997,29000000.0
4,1998,20000000.0
5,1999,27000000.0
6,2000,13000000.0
7,2001,21000000.0
8,2002,50000000.0
9,2003,50000000.0
10,2004,48000000.0
11,2005,49000000.0
12,2006,49000000.0
13,2007,49000000.0
14,2008,50000000.0
15,2009,45000000.0
16,2010,54000000.0
17,2011,53000000.0
18,2012,45000000.0
19,2013,50000000.0
20,2014,62000000.0
21,2015,62000000.0
22,2016,64000000.0
23,2017,45000000.0
24,2018,84000000.0
25,2019,72000000.0
